Symbol,Date,Close
AMD,9/12/2018,32.21
AMD,9/13/2018,30.48
AMD,9/14/2018,32.72
AMD,9/17/2018,32.43
AMD,9/18/2018,31.93
AMD,9/19/2018,31.21
AMD,9/20/2018,31.18
AMD,9/21/2018,31.02
AMD,9/24/2018,32.61
AMD,9/25/2018,32.57
AMD,9/26/2018,32.19
AMD,9/27/2018,32.59
AMD,9/28/2018,30.89
AMD,10/1/2018,31.42
AMD,10/2/2018,29.02
AMD,10/3/2018,28.43
AMD,10/4/2018,27.78
AMD,10/5/2018,27.35
AMD,10/8/2018,26.46
AMD,10/9/2018,27.24
AMD,10/10/2018,25
AMD,10/11/2018,25.3
AMD,10/12/2018,26.34
AMD,10/15/2018,26.26
AMD,10/16/2018,28.18
AMD,10/17/2018,27.3
AMD,10/18/2018,26.62
AMD,10/19/2018,23.66
AMD,10/22/2018,25.03
AMD,10/23/2018,25.09
AMD,10/24/2018,22.79
AMD,10/25/2018,19.27
AMD,10/26/2018,17.63
AMD,10/29/2018,16.85
AMD,10/30/2018,17.2
AMD,10/31/2018,18.21
AMD,11/1/2018,20.22
AMD,11/2/2018,20.23
AMD,11/5/2018,19.9
AMD,11/6/2018,20.68
AMD,11/7/2018,21.84
AMD,11/8/2018,21.2
AMD,11/9/2018,21.03
AMD,11/12/2018,19.03
AMD,11/13/2018,19.61
AMD,11/14/2018,20.81
AMD,11/15/2018,21.49
AMD,11/16/2018,20.66
AMD,11/19/2018,19.11
AMD,11/20/2018,19.21
AMD,11/21/2018,18.73
AMD,11/23/2018,19.38
AMD,11/26/2018,20.08
AMD,11/27/2018,21.05
AMD,11/28/2018,21.34
AMD,11/29/2018,21.43
AMD,11/30/2018,21.3
AMD,12/3/2018,23.71
AMD,12/4/2018,21.12
AMD,12/6/2018,21.3
AMD,12/7/2018,19.46
AMD,12/10/2018,19.99
AMD,12/11/2018,19.98
AMD,12/12/2018,20.48
AMD,12/13/2018,19.86
AMD,12/14/2018,19.9
AMD,12/17/2018,18.83
AMD,12/18/2018,19.5
AMD,12/19/2018,18.16
AMD,12/20/2018,17.94
AMD,12/21/2018,16.93
AMD,12/24/2018,16.65
AMD,12/26/2018,17.9
AMD,12/27/2018,17.49
AMD,12/28/2018,17.82
AMD,12/31/2018,18.46
AMD,1/2/2019,18.83
AMD,1/3/2019,17.05
AMD,1/4/2019,19
AMD,1/7/2019,20.57
AMD,1/8/2019,20.75
AMD,1/9/2019,20.19
AMD,1/10/2019,19.74
AMD,1/11/2019,20.27
AMD,1/14/2019,20.23
AMD,1/15/2019,20.38
AMD,1/16/2019,19.73
AMD,1/17/2019,20.25
AMD,1/18/2019,20.77
AMD,1/22/2019,19.76
AMD,1/23/2019,19.8
AMD,1/24/2019,20.85
AMD,1/25/2019,21.93
AMD,1/28/2019,20.18
AMD,1/29/2019,19.25
AMD,1/30/2019,23.09
AMD,1/31/2019,24.41
AMD,2/1/2019,24.51
AMD,2/4/2019,24.13
AMD,2/5/2019,23.31
AMD,2/6/2019,23.26
AMD,2/7/2019,22.67
AMD,2/8/2019,23.05
AMD,2/11/2019,22.96
AMD,2/12/2019,22.82
AMD,2/13/2019,22.85
AMD,2/14/2019,23.13
AMD,2/15/2019,23.68
AMD,2/19/2019,23.95
AMD,2/20/2019,23.95
AMD,2/21/2019,23.92
AMD,2/22/2019,24.36
AMD,2/25/2019,24.71
AMD,2/26/2019,24.21
AMD,2/27/2019,23.48
AMD,2/28/2019,23.53
AMD,3/1/2019,23.68
AMD,3/4/2019,23.37
AMD,3/5/2019,23.5
AMD,3/6/2019,22.41
AMD,3/7/2019,22.08
AMD,3/8/2019,22.01
AMD,3/11/2019,22.96
AMD,3/12/2019,23.49
AMD,3/13/2019,23.38
AMD,3/14/2019,22.82
AMD,3/15/2019,23.29
AMD,3/18/2019,23.25
AMD,3/19/2019,26
AMD,3/20/2019,25.7
AMD,3/21/2019,27.89
AMD,3/22/2019,26.37
AMD,3/25/2019,25.97
AMD,3/26/2019,25.69
AMD,3/27/2019,24.89
AMD,3/28/2019,25.06
AMD,3/29/2019,25.52
AMD,4/1/2019,26.36
AMD,4/2/2019,26.75
AMD,4/3/2019,29.02
AMD,4/4/2019,29.09
AMD,4/5/2019,28.98
AMD,4/8/2019,28.53
AMD,4/9/2019,27.24
AMD,4/10/2019,27.83
AMD,4/11/2019,27.79
AMD,4/12/2019,27.85
AMD,4/15/2019,27.33
AMD,4/16/2019,27.93
AMD,4/17/2019,27.49
AMD,4/18/2019,27.68
AMD,4/22/2019,28.18
AMD,4/23/2019,27.97
AMD,4/24/2019,28.46
AMD,4/25/2019,27.66
AMD,4/26/2019,27.88
AMD,4/29/2019,27.69
AMD,4/30/2019,27.63
AMD,5/1/2019,26.81
AMD,5/2/2019,28.29
AMD,5/3/2019,28.22
AMD,5/6/2019,27.42
AMD,5/7/2019,26.66
AMD,5/8/2019,27.09
AMD,,
AMD,,
AMD,,
